38 Provinsi,,,
,Rata-Rata Konsumsi Rumah Tangga untuk Telekomunikasi Menurut Provinsi (Rupiah),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,212372.29,114736.01,148400.52
SUMATERA UTARA,190003.18,135069.59,165863
SUMATERA BARAT,244790.21,153464.83,199464.12
RIAU,258400.62,185191.63,215107.74
JAMBI,230495.3,143979.08,172508.05
SUMATERA SELATAN,201450.09,129521.49,156399.88
BENGKULU,236648.13,118511,159225.22
LAMPUNG,206599.32,115881.51,144108.56
KEP. BANGKA BELITUNG,224080.1,159312.59,196763.98
KEP. RIAU,282141.37,184126.76,275304.63
DKI JAKARTA,278656.09,-,278656.09
JAWA BARAT,201267.33,110472.85,181665.24
JAWA TENGAH,170121.95,121709.55,147096.21
DI YOGYAKARTA,217473.88,119987.56,195202.41
JAWA TIMUR,184081.22,108622.05,150782.72
BANTEN,246141.02,126721.23,215187.13
BALI,246661.75,165367.13,224493.64
NUSA TENGGARA BARAT,162423.7,113123.62,138192.79
NUSA TENGGARA TIMUR,249891.65,99179.78,142884.16
KALIMANTAN BARAT,257872.42,150349.16,190773.67
KALIMANTAN TENGAH,269842.5,197021.63,228016.78
KALIMANTAN SELATAN,253065.06,153381.86,202989.76
KALIMANTAN TIMUR,339255.22,243843.38,309816.89
KALIMANTAN UTARA,358315.8,235284.72,312881.44
SULAWESI UTARA,211505.22,138439.82,178939.31
SULAWESI TENGAH,253214.75,152924.77,186321.61
SULAWESI SELATAN,234043.71,130537.13,177511.42
SULAWESI TENGGARA,243468.04,143129.75,180004.65
GORONTALO,244790.96,152813.42,194169.86
SULAWESI BARAT,218416.65,123847.73,143604.2
MALUKU,327670.62,178374.22,251626.44
MALUKU UTARA,311302.95,177704.74,221434.28
PAPUA BARAT,420546.27,238291.58,320459.59
PAPUA BARAT DAYA,-,-,-
PAPUA,347260.78,190245.63,266860.85
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,216406.96,130242.55,180788.99